Location Key,Date,Observed Festival,Canonical Festival,Detail URL,Sankranti Moment,Punya Kala,Maha Punya Kala,Extracted Details,Completeness Status,Scan Error
geoname:1272648|city:dibrugarh,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 08:04 AM,Simha Sankranti Punya Kala - 04:42 AM to 08:04 AM,Simha Sankranti Maha Punya Kala - 05:53 AM to 08:04 AM,Simha Sankranti Moment - 08:04 AM | Simha Sankranti Punya Kala - 04:42 AM to 08:04 AM | Simha Sankranti Maha Punya Kala - 05:53 AM to 08:04 AM,COMPLETE,
geoname:1269771|city:imphal,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 08:04 AM,Simha Sankranti Punya Kala - 04:49 AM to 08:04 AM,Simha Sankranti Maha Punya Kala - 05:54 AM to 08:04 AM,Simha Sankranti Moment - 08:04 AM | Simha Sankranti Punya Kala - 04:49 AM to 08:04 AM | Simha Sankranti Maha Punya Kala - 05:54 AM to 08:04 AM,COMPLETE,
geoname:1272552|city:dimapur,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 08:04 AM,Simha Sankranti Punya Kala - 04:49 AM to 08:04 AM,Simha Sankranti Maha Punya Kala - 05:54 AM to 08:04 AM,Simha Sankranti Moment - 08:04 AM | Simha Sankranti Punya Kala - 04:49 AM to 08:04 AM | Simha Sankranti Maha Punya Kala - 05:54 AM to 08:04 AM,COMPLETE,
geoname:1269655|city:itanagar,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 08:04 AM,Simha Sankranti Punya Kala - 04:48 AM to 08:04 AM,Simha Sankranti Maha Punya Kala - 05:53 AM to 08:04 AM,Simha Sankranti Moment - 08:04 AM | Simha Sankranti Punya Kala - 04:48 AM to 08:04 AM | Simha Sankranti Maha Punya Kala - 05:53 AM to 08:04 AM,COMPLETE,
geoname:1264521|city:madurai,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 08:04 AM,Simha Sankranti Punya Kala - 06:09 AM to 08:04 AM,Simha Sankranti Maha Punya Kala - 06:09 AM to 08:04 AM,Simha Sankranti Moment - 08:04 AM | Simha Sankranti Punya Kala - 06:09 AM to 08:04 AM | Simha Sankranti Maha Punya Kala - 06:09 AM to 08:04 AM,COMPLETE,
geoname:1265683|city:kumbakonam,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 08:04 AM,Simha Sankranti Punya Kala - 06:02 AM to 08:04 AM,Simha Sankranti Maha Punya Kala - 06:02 AM to 08:04 AM,Simha Sankranti Moment - 08:04 AM | Simha Sankranti Punya Kala - 06:02 AM to 08:04 AM | Simha Sankranti Maha Punya Kala - 06:02 AM to 08:04 AM,COMPLETE,
geoname:1274256|city:chidambaram,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 08:04 AM,Simha Sankranti Punya Kala - 06:01 AM to 08:04 AM,Simha Sankranti Maha Punya Kala - 06:01 AM to 08:04 AM,Simha Sankranti Moment - 08:04 AM | Simha Sankranti Punya Kala - 06:01 AM to 08:04 AM | Simha Sankranti Maha Punya Kala - 06:01 AM to 08:04 AM,COMPLETE,
geoname:1268159|city:kanchipuram,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 08:04 AM,Simha Sankranti Punya Kala - 05:59 AM to 08:04 AM,Simha Sankranti Maha Punya Kala - 05:59 AM to 08:04 AM,Simha Sankranti Moment - 08:04 AM | Simha Sankranti Punya Kala - 05:59 AM to 08:04 AM | Simha Sankranti Maha Punya Kala - 05:59 AM to 08:04 AM,COMPLETE,
geoname:1254388|city:srirangam,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 08:04 AM,Simha Sankranti Punya Kala - 06:05 AM to 08:04 AM,Simha Sankranti Maha Punya Kala - 06:05 AM to 08:04 AM,Simha Sankranti Moment - 08:04 AM | Simha Sankranti Punya Kala - 06:05 AM to 08:04 AM | Simha Sankranti Maha Punya Kala - 06:05 AM to 08:04 AM,COMPLETE,
geoname:1270603|city:guruvayur,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 08:04 AM,Simha Sankranti Punya Kala - 06:16 AM to 08:04 AM,Simha Sankranti Maha Punya Kala - 06:16 AM to 08:04 AM,Simha Sankranti Moment - 08:04 AM | Simha Sankranti Punya Kala - 06:16 AM to 08:04 AM | Simha Sankranti Maha Punya Kala - 06:16 AM to 08:04 AM,COMPLETE,
geoname:1260546|city:pandharpur,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 08:04 AM,Simha Sankranti Punya Kala - 06:12 AM to 08:04 AM,Simha Sankranti Maha Punya Kala - 06:12 AM to 08:04 AM,Simha Sankranti Moment - 08:04 AM | Simha Sankranti Punya Kala - 06:12 AM to 08:04 AM | Simha Sankranti Maha Punya Kala - 06:12 AM to 08:04 AM,COMPLETE,
geoname:1266285|city:kolhapur,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 08:04 AM,Simha Sankranti Punya Kala - 06:17 AM to 08:04 AM,Simha Sankranti Maha Punya Kala - 06:17 AM to 08:04 AM,Simha Sankranti Moment - 08:04 AM | Simha Sankranti Punya Kala - 06:17 AM to 08:04 AM | Simha Sankranti Maha Punya Kala - 06:17 AM to 08:04 AM,COMPLETE,
geoname:1262180|city:nagpur,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 08:04 AM,Simha Sankranti Punya Kala - 05:53 AM to 08:04 AM,Simha Sankranti Maha Punya Kala - 05:55 AM to 08:04 AM,Simha Sankranti Moment - 08:04 AM | Simha Sankranti Punya Kala - 05:53 AM to 08:04 AM | Simha Sankranti Maha Punya Kala - 05:55 AM to 08:04 AM,COMPLETE,
geoname:1253102|city:visakhapatnam,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 08:04 AM,Simha Sankranti Punya Kala - 05:40 AM to 08:04 AM,Simha Sankranti Maha Punya Kala - 05:57 AM to 08:04 AM,Simha Sankranti Moment - 08:04 AM | Simha Sankranti Punya Kala - 05:40 AM to 08:04 AM | Simha Sankranti Maha Punya Kala - 05:57 AM to 08:04 AM,COMPLETE,
geoname:292223|city:dubai,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 06:34 AM,Simha Sankranti Punya Kala - 05:54 AM to 06:34 AM,Simha Sankranti Maha Punya Kala - 05:54 AM to 06:34 AM,Simha Sankranti Moment - 06:34 AM | Simha Sankranti Punya Kala - 05:54 AM to 06:34 AM | Simha Sankranti Maha Punya Kala - 05:54 AM to 06:34 AM,COMPLETE,
geoname:290030|city:doha,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 05:34 AM,Simha Sankranti Punya Kala - 05:08 AM to 05:34 AM,Simha Sankranti Maha Punya Kala - 05:08 AM to 05:34 AM,Simha Sankranti Moment - 05:34 AM | Simha Sankranti Punya Kala - 05:08 AM to 05:34 AM | Simha Sankranti Maha Punya Kala - 05:08 AM to 05:34 AM,COMPLETE,
geoname:2657896|city:zurich,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 04:34 AM,Simha Sankranti Punya Kala - 06:25 AM to 01:29 PM,Simha Sankranti Maha Punya Kala - 06:25 AM to 08:46 AM,Simha Sankranti Moment - 04:34 AM | Simha Sankranti Punya Kala - 06:25 AM to 01:29 PM | Simha Sankranti Maha Punya Kala - 06:25 AM to 08:46 AM,COMPLETE,
geoname:2928751|city:esslingen,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 04:34 AM,Simha Sankranti Punya Kala - 06:18 AM to 01:26 PM,Simha Sankranti Maha Punya Kala - 06:18 AM to 08:41 AM,Simha Sankranti Moment - 04:34 AM | Simha Sankranti Punya Kala - 06:18 AM to 01:26 PM | Simha Sankranti Maha Punya Kala - 06:18 AM to 08:41 AM,COMPLETE,
geoname:1278094|city:ayodhya,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 08:04 AM,Simha Sankranti Punya Kala - 05:34 AM to 08:04 AM,Simha Sankranti Maha Punya Kala - 05:53 AM to 08:04 AM,Simha Sankranti Moment - 08:04 AM | Simha Sankranti Punya Kala - 05:34 AM to 08:04 AM | Simha Sankranti Maha Punya Kala - 05:53 AM to 08:04 AM,COMPLETE,
geoname:5131614|city:pittsford,2026-08-16,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 10:34 PM,Simha Sankranti Punya Kala - 01:14 PM to 08:11 PM,Simha Sankranti Maha Punya Kala - 05:52 PM to 08:11 PM,Simha Sankranti Moment - 10:34 PM | Simha Sankranti Punya Kala - 01:14 PM to 08:11 PM | Simha Sankranti Maha Punya Kala - 05:52 PM to 08:11 PM,COMPLETE,
geoname:5119251|city:greece,2026-08-16,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 10:34 PM,Simha Sankranti Punya Kala - 01:15 PM to 08:12 PM,Simha Sankranti Maha Punya Kala - 05:53 PM to 08:12 PM,Simha Sankranti Moment - 10:34 PM | Simha Sankranti Punya Kala - 01:15 PM to 08:12 PM | Simha Sankranti Maha Punya Kala - 05:53 PM to 08:12 PM,COMPLETE,
geoname:5140405|city:syracuse,2026-08-16,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 10:34 PM,Simha Sankranti Punya Kala - 01:09 PM to 08:05 PM,Simha Sankranti Maha Punya Kala - 05:46 PM to 08:05 PM,Simha Sankranti Moment - 10:34 PM | Simha Sankranti Punya Kala - 01:09 PM to 08:05 PM | Simha Sankranti Maha Punya Kala - 05:46 PM to 08:05 PM,COMPLETE,
geoname:4256038|city:columbus,2026-08-16,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 10:34 PM,Simha Sankranti Punya Kala - 01:48 PM to 08:37 PM,Simha Sankranti Maha Punya Kala - 06:21 PM to 08:37 PM,Simha Sankranti Moment - 10:34 PM | Simha Sankranti Punya Kala - 01:48 PM to 08:37 PM | Simha Sankranti Maha Punya Kala - 06:21 PM to 08:37 PM,COMPLETE,
geoname:4487042|city:raleigh,2026-08-16,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 10:34 PM,Simha Sankranti Punya Kala - 01:19 PM to 08:03 PM,Simha Sankranti Maha Punya Kala - 05:48 PM to 08:03 PM,Simha Sankranti Moment - 10:34 PM | Simha Sankranti Punya Kala - 01:19 PM to 08:03 PM | Simha Sankranti Maha Punya Kala - 05:48 PM to 08:03 PM,COMPLETE,
geoname:4460243|city:charlotte,2026-08-16,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 10:34 PM,Simha Sankranti Punya Kala - 01:27 PM to 08:11 PM,Simha Sankranti Maha Punya Kala - 05:56 PM to 08:11 PM,Simha Sankranti Moment - 10:34 PM | Simha Sankranti Punya Kala - 01:27 PM to 08:11 PM | Simha Sankranti Maha Punya Kala - 05:56 PM to 08:11 PM,COMPLETE,
geoname:1277333|city:bengaluru,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 08:04 AM,Simha Sankranti Punya Kala - 06:08 AM to 08:04 AM,Simha Sankranti Maha Punya Kala - 06:08 AM to 08:04 AM,Simha Sankranti Moment - 08:04 AM | Simha Sankranti Punya Kala - 06:08 AM to 08:04 AM | Simha Sankranti Maha Punya Kala - 06:08 AM to 08:04 AM,COMPLETE,
geoname:1262321|city:mysuru,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 08:04 AM,Simha Sankranti Punya Kala - 06:12 AM to 08:04 AM,Simha Sankranti Maha Punya Kala - 06:12 AM to 08:04 AM,Simha Sankranti Moment - 08:04 AM | Simha Sankranti Punya Kala - 06:12 AM to 08:04 AM | Simha Sankranti Maha Punya Kala - 06:12 AM to 08:04 AM,COMPLETE,
geoname:1262321|city:t_narasipura,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 08:04 AM,Simha Sankranti Punya Kala - 06:12 AM to 08:04 AM,Simha Sankranti Maha Punya Kala - 06:12 AM to 08:04 AM,Simha Sankranti Moment - 08:04 AM | Simha Sankranti Punya Kala - 06:12 AM to 08:04 AM | Simha Sankranti Maha Punya Kala - 06:12 AM to 08:04 AM,COMPLETE,
geoname:1263780|city:mangalore,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 08:04 AM,Simha Sankranti Punya Kala - 06:19 AM to 08:04 AM,Simha Sankranti Maha Punya Kala - 06:19 AM to 08:04 AM,Simha Sankranti Moment - 08:04 AM | Simha Sankranti Punya Kala - 06:19 AM to 08:04 AM | Simha Sankranti Maha Punya Kala - 06:19 AM to 08:04 AM,COMPLETE,
geoname:1253952|city:udupi,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 08:04 AM,Simha Sankranti Punya Kala - 06:19 AM to 08:04 AM,Simha Sankranti Maha Punya Kala - 06:19 AM to 08:04 AM,Simha Sankranti Moment - 08:04 AM | Simha Sankranti Punya Kala - 06:19 AM to 08:04 AM | Simha Sankranti Maha Punya Kala - 06:19 AM to 08:04 AM,COMPLETE,
geoname:1255364|city:surat,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 08:04 AM,Simha Sankranti Punya Kala - 06:18 AM to 08:04 AM,Simha Sankranti Maha Punya Kala - 06:18 AM to 08:04 AM,Simha Sankranti Moment - 08:04 AM | Simha Sankranti Punya Kala - 06:18 AM to 08:04 AM | Simha Sankranti Maha Punya Kala - 06:18 AM to 08:04 AM,COMPLETE,
geoname:1259229|city:pune,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 08:04 AM,Simha Sankranti Punya Kala - 06:17 AM to 08:04 AM,Simha Sankranti Maha Punya Kala - 06:17 AM to 08:04 AM,Simha Sankranti Moment - 08:04 AM | Simha Sankranti Punya Kala - 06:17 AM to 08:04 AM | Simha Sankranti Maha Punya Kala - 06:17 AM to 08:04 AM,COMPLETE,
geoname:1253573|city:vadodara,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 08:04 AM,Simha Sankranti Punya Kala - 06:15 AM to 08:04 AM,Simha Sankranti Maha Punya Kala - 06:15 AM to 08:04 AM,Simha Sankranti Moment - 08:04 AM | Simha Sankranti Punya Kala - 06:15 AM to 08:04 AM | Simha Sankranti Maha Punya Kala - 06:15 AM to 08:04 AM,COMPLETE,
geoname:1269843|city:hyderabad,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 08:04 AM,Simha Sankranti Punya Kala - 06:00 AM to 08:04 AM,Simha Sankranti Maha Punya Kala - 06:00 AM to 08:04 AM,Simha Sankranti Moment - 08:04 AM | Simha Sankranti Punya Kala - 06:00 AM to 08:04 AM | Simha Sankranti Maha Punya Kala - 06:00 AM to 08:04 AM,COMPLETE,
geoname:5134086|city:rochester,2026-08-16,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 10:34 PM,Simha Sankranti Punya Kala - 01:14 PM to 08:11 PM,Simha Sankranti Maha Punya Kala - 05:52 PM to 08:11 PM,Simha Sankranti Moment - 10:34 PM | Simha Sankranti Punya Kala - 01:14 PM to 08:11 PM | Simha Sankranti Maha Punya Kala - 05:52 PM to 08:11 PM,COMPLETE,
geoname:5139865|city:stonybrook,2026-08-16,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 10:34 PM,Simha Sankranti Punya Kala - 12:57 PM to 07:49 PM,Simha Sankranti Maha Punya Kala - 05:32 PM to 07:49 PM,Simha Sankranti Moment - 10:34 PM | Simha Sankranti Punya Kala - 12:57 PM to 07:49 PM | Simha Sankranti Maha Punya Kala - 05:32 PM to 07:49 PM,COMPLETE,
geoname:4922462|city:lafayette,2026-08-16,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 10:34 PM,Simha Sankranti Punya Kala - 01:51 PM to 08:43 PM,Simha Sankranti Maha Punya Kala - 06:26 PM to 08:43 PM,Simha Sankranti Moment - 10:34 PM | Simha Sankranti Punya Kala - 01:51 PM to 08:43 PM | Simha Sankranti Maha Punya Kala - 06:26 PM to 08:43 PM,COMPLETE,
geoname:4887398|city:chicago,2026-08-16,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 09:34 PM,Simha Sankranti Punya Kala - 12:55 PM to 07:49 PM,Simha Sankranti Maha Punya Kala - 05:31 PM to 07:49 PM,Simha Sankranti Moment - 09:34 PM | Simha Sankranti Punya Kala - 12:55 PM to 07:49 PM | Simha Sankranti Maha Punya Kala - 05:31 PM to 07:49 PM,COMPLETE,
geoname:4684888|city:dallas,2026-08-16,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 09:34 PM,Simha Sankranti Punya Kala - 01:31 PM to 08:11 PM,Simha Sankranti Maha Punya Kala - 05:58 PM to 08:11 PM,Simha Sankranti Moment - 09:34 PM | Simha Sankranti Punya Kala - 01:31 PM to 08:11 PM | Simha Sankranti Maha Punya Kala - 05:58 PM to 08:11 PM,COMPLETE,
